  context  temp content       ptok   ctok    TTFT s  dec tok/s
--------------------------------------------------------------
    1,000   0.6 prose        1,076    600      1.77       16.7
    1,000   0.6 code         1,073    600      1.42       16.9
    1,000   0.6 entropy      1,077    600      0.39       16.9
    1,000   0.6 copy         1,089    600      0.38       18.2
  100,000   0.6 prose      100,076    600     41.49       16.4
  100,000   0.6 code       100,073    600      1.47       16.8
  100,000   0.6 entropy    100,077    600      0.42       17.0
  100,000   0.6 copy       100,089    600      0.42       18.1
