  context  temp content       ptok   ctok    TTFT s  dec tok/s
--------------------------------------------------------------
    1,000   0.6 prose        1,076    600      1.80       16.0
    1,000   0.6 code         1,073    600      1.49       16.1
    1,000   0.6 entropy      1,077    600      0.41       16.0
    1,000   0.6 copy         1,089    600      0.41       17.4
  100,000   0.6 prose      100,076    600     43.69       16.0
  100,000   0.6 code       100,073    600      1.56       16.1
  100,000   0.6 entropy    100,077    600      0.52       16.2
  100,000   0.6 copy       100,089    600      0.47       16.8
