  context  temp content       ptok   ctok    TTFT s  dec tok/s
--------------------------------------------------------------
    1,000   0.6 prose        1,076    600      1.81       16.4
    1,000   0.6 code         1,073    600      1.47       16.4
    1,000   0.6 entropy      1,077    600      0.39       16.5
    1,000   0.6 copy         1,089    600      0.38       17.6
  100,000   0.6 prose      100,076    600     43.12       16.4
  100,000   0.6 code       100,073    600      1.55       16.2
  100,000   0.6 entropy    100,077    600      0.45       16.5
  100,000   0.6 copy       100,089    600      0.45       17.8
